,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
352,Messi,10/11,LaLiga,22,05-02-2011,H,FC Barcelona,Atletico de Madrid,3-0,CF,28,2-0,Left-footed shot,Pedro,0,H,Ampliar,28,1st,Q2 1st,11
353,Messi,10/11,LaLiga,22,05-02-2011,H,FC Barcelona,Atletico de Madrid,3-0,CF,16,1-0,Left-footed shot,Dani Alves,0,H,Adelantar,16,1st,Q2 1st,11
354,CR7,10/11,LaLiga,22,06-02-2011,H,Real Madrid,Real Sociedad,4-1,LW,42,3-0,Header,Mesut Ozil,0,H,Ampliar,42,1st,Q3 1st,11
355,CR7,10/11,LaLiga,22,06-02-2011,H,Real Madrid,Real Sociedad,4-1,LW,20,2-0,Left-footed shot,Kaka,0,H,Ampliar,20,1st,Q2 1st,11
356,Messi,10/11,LaLiga,24,20-02-2011,H,FC Barcelona,Athletic Bilbao,2-1,CF,78,2-1,Right-footed shot,Dani Alves,0,H,Adelantar,78,2nd,Q3 2nd,11
357,Messi,10/11,LaLiga,25,26-02-2011,A,FC Barcelona,RCD Mallorca,0-3,CF,38,0-1,Header,Seydou Keita,0,A,Adelantar,38,1st,Q3 1st,11
358,Messi,10/11,LaLiga,26,02-03-2011,A,FC Barcelona,Valencia CF,0-1,CF,77,0-1,Left-footed shot,Adriano,0,A,Adelantar,77,2nd,Q3 2nd,11
359,CR7,10/11,LaLiga,26,03-03-2011,H,Real Madrid,Malaga CF,7-0,LW,67,6-0,Penalty,,0,H,Ampliar,67,2nd,Q2 2nd,11
360,CR7,10/11,LaLiga,26,03-03-2011,H,Real Madrid,Malaga CF,7-0,LW,76,7-0,Right-footed shot,Sergio Canales,0,H,Ampliar,76,2nd,Q3 2nd,11
361,CR7,10/11,LaLiga,26,03-03-2011,H,Real Madrid,Malaga CF,7-0,LW,50,4-0,Left-footed shot,Mesut Ozil,0,H,Ampliar,50,2nd,Q1 2nd,11
362,Messi,10/11,UEFA Champions League,Round of 16,08-03-2011,H,FC Barcelona,Arsenal FC,3-1,RW,49,1-0,Left-footed shot,Andres Iniesta,0,H,Adelantar,49,2nd,Q1 2nd,11
363,Messi,10/11,UEFA Champions League,Round of 16,08-03-2011,H,FC Barcelona,Arsenal FC,3-1,RW,72,3-1,Penalty,,0,H,Ampliar,72,2nd,Q2 2nd,11
364,CR7,10/11,UEFA Champions League,Quarter-Finals,05-04-2011,H,Real Madrid,Tottenham Hotspur,4-0,LW,87,4-0,Right-footed shot,Kaka,0,H,Ampliar,87,2nd,Q3 2nd,11
365,CR7,10/11,LaLiga,31,09-04-2011,A,Real Madrid,Athletic Bilbao,0-3,CF,70,0-3,Right-footed shot,Esteban Granero,0,A,Ampliar,70,2nd,Q2 2nd,11
366,Messi,10/11,LaLiga,31,09-04-2011,H,FC Barcelona,UD Almera,3-1,CF,52,1-1,Penalty,,0,H,Empatar,52,2nd,Q1 2nd,11
367,Messi,10/11,LaLiga,31,09-04-2011,H,FC Barcelona,UD Almera,3-1,CF,90+1,3-1,Left-footed shot,Seydou Keita,0,H,Ampliar,90,2nd,Q3 2nd,11
368,Messi,10/11,UEFA Champions League,Quarter-Finals,12-04-2011,A,FC Barcelona,Shakhtar Donetsk,0-1,CF,42,0-1,Left-footed shot,Dani Alves,0,A,Adelantar,42,1st,Q3 1st,11
369,CR7,10/11,UEFA Champions League,Quarter-Finals,13-04-2011,A,Real Madrid,Tottenham Hotspur,0-1,RW,50,0-1,Right-footed shot,Sami Khedira,0,A,Adelantar,50,2nd,Q1 2nd,11
370,CR7,10/11,LaLiga,32,16-04-2011,H,Real Madrid,FC Barcelona,1-1,LW,82,1-1,Penalty,,0,D,Empatar,82,2nd,Q3 2nd,11
371,Messi,10/11,LaLiga,32,16-04-2011,A,FC Barcelona,Real Madrid,1-1,CF,53,0-1,Penalty,,0,D,Adelantar,53,2nd,Q1 2nd,11
372,CR7,10/11,Copa del Rey,Final,20-04-2011,A,Real Madrid,FC Barcelona,0-1 ,CF,103,0-1,Header,Angel Di Maria,1,A,Adelantar,10,ET,ET,11
373,Messi,10/11,LaLiga,33,23-04-2011,H,FC Barcelona,CA Osasuna,2-0,CF,87,2-0,Right-footed shot,Dani Alves,0,H,Ampliar,87,2nd,Q3 2nd,11
374,Messi,10/11,UEFA Champions League,Semi-Finals,27-04-2011,A,FC Barcelona,Real Madrid,0-2,CF,87,0-2,Solo run,Sergio Busquets,0,A,Ampliar,87,2nd,Q3 2nd,11
375,Messi,10/11,UEFA Champions League,Semi-Finals,27-04-2011,A,FC Barcelona,Real Madrid,0-2,CF,76,0-1,Left-footed shot,Ibrahim Afellay,0,A,Adelantar,76,2nd,Q3 2nd,11
376,CR7,10/11,LaLiga,35,07-05-2011,A,Real Madrid,Sevilla FC,2-6,LW,76,1-6,Right-footed shot,Karim Benzema,0,A,Ampliar,76,2nd,Q3 2nd,11
377,CR7,10/11,LaLiga,35,07-05-2011,A,Real Madrid,Sevilla FC,2-6,LW,64,1-4,Right-footed shot,,0,A,Ampliar,64,2nd,Q2 2nd,11
378,CR7,10/11,LaLiga,35,07-05-2011,A,Real Madrid,Sevilla FC,2-6,LW,30,0-2,Right-footed shot,Pepe,0,A,Ampliar,30,1st,Q2 1st,11
379,CR7,10/11,LaLiga,35,07-05-2011,A,Real Madrid,Sevilla FC,2-6,LW,70,1-5,Right-footed shot,Mesut Ozil,0,A,Ampliar,70,2nd,Q2 2nd,11
380,CR7,10/11,LaLiga,36,10-05-2011,H,Real Madrid,Getafe CF,4-0,LW,23,1-0,Header,Mesut Ozil,0,H,Adelantar,23,1st,Q2 1st,11
381,CR7,10/11,LaLiga,36,10-05-2011,H,Real Madrid,Getafe CF,4-0,LW,57,2-0,Left-footed shot,Mesut Ozil,0,H,Ampliar,57,2nd,Q1 2nd,11
382,CR7,10/11,LaLiga,36,10-05-2011,H,Real Madrid,Getafe CF,4-0,LW,90+1,4-0,Penalty,,0,H,Ampliar,90,2nd,Q3 2nd,11
383,CR7,10/11,LaLiga,37,15-05-2011,A,Real Madrid,Villarreal CF,1-3,CF,22,0-2,Direct free kick,,0,A,Ampliar,22,1st,Q2 1st,11
384,CR7,10/11,LaLiga,37,15-05-2011,A,Real Madrid,Villarreal CF,1-3,CF,90,1-3,Direct free kick,,0,A,Ampliar,90,2nd,Q3 2nd,11
385,CR7,10/11,LaLiga,38,21-05-2011,H,Real Madrid,UD Almeria,8-1,LW,4,1-0,Right-footed shot,Sergio Ramos,0,H,Adelantar,4,1st,Q1 1st,11
386,CR7,10/11,LaLiga,38,21-05-2011,H,Real Madrid,UD Almeria,8-1,LW,76,7-1,Right-footed shot,Sergio Ramos,0,H,Ampliar,76,2nd,Q3 2nd,11
387,Messi,10/11,UEFA Champions League,Final,28-05-2011,H,FC Barcelona,Manchester United,3-1,CF,54,2-1,Left-footed shot,Andres Iniesta,0,H,Adelantar,54,2nd,Q1 2nd,11
388,Messi,11/12,Supercopa de España,Final,14-08-2011,A,FC Barcelona,Real Madrid,2-2,CF,45,1-2,Left-footed shot,Thiago,0,D,Adelantar,45,1st,Q3 1st,12
389,CR7,11/12,Supercopa de España,Final,17-08-2011,A,Real Madrid,FC Barcelona,3-2,LW,20,1-1,Right-footed shot,Karim Benzema,0,H,Empatar,20,1st,Q2 1st,12
390,Messi,11/12,Supercopa de España,Final,17-08-2011,H,FC Barcelona,Real Madrid,3-2,CF,44,2-1,Right-footed shot,Gerard Pique,0,H,Adelantar,44,1st,Q3 1st,12
391,Messi,11/12,Supercopa de España,Final,17-08-2011,H,FC Barcelona,Real Madrid,3-2,CF,88,3-2,Left-footed shot,Adriano,0,H,Adelantar,88,2nd,Q3 2nd,12
392,Messi,11/12,UEFA Super Cup,Final,26-08-2011,H,FC Barcelona,FC Porto,2-0,CF,39,1-0,Left-footed shot,,0,H,Adelantar,39,1st,Q3 1st,12
393,CR7,11/12,LaLiga,2,28-08-2011,A,Real Madrid,Real Zaragoza,0-6,LW,70,0-4,Right-footed shot,Angel Di Maria,0,A,Ampliar,70,2nd,Q2 2nd,12
394,CR7,11/12,LaLiga,2,28-08-2011,A,Real Madrid,Real Zaragoza,0-6,LW,86,0-6,Right-footed shot,Kaka,0,A,Ampliar,86,2nd,Q3 2nd,12
395,CR7,11/12,LaLiga,2,28-08-2011,A,Real Madrid,Real Zaragoza,0-6,LW,23,0-1,Left-footed shot,Mesut Ozil,0,A,Adelantar,23,1st,Q2 1st,12
396,Messi,11/12,LaLiga,2,29-08-2011,H,FC Barcelona,Villarreal CF,5-0,CF,51,4-0,Right-footed shot,Andres Iniesta,0,H,Ampliar,51,2nd,Q1 2nd,12
397,Messi,11/12,LaLiga,2,29-08-2011,H,FC Barcelona,Villarreal CF,5-0,CF,74,5-0,Left-footed shot,Thiago,0,H,Ampliar,74,2nd,Q2 2nd,12
398,CR7,11/12,LaLiga,3,10-09-2011,H,Real Madrid,Getafe CF,4-2,LW,59,2-1,Penalty,,0,H,Adelantar,59,2nd,Q1 2nd,12
399,Messi,11/12,LaLiga,4,17-09-2011,H,FC Barcelona,CA Osasuna,8-0,CF,5,1-0,Left-footed shot,Dani Alves,0,H,Adelantar,5,1st,Q1 1st,12
400,Messi,11/12,LaLiga,4,17-09-2011,H,FC Barcelona,CA Osasuna,8-0,CF,41,5-0,Left-footed shot,Cesc Fabregas,0,H,Ampliar,41,1st,Q3 1st,12
401,Messi,11/12,LaLiga,4,17-09-2011,H,FC Barcelona,CA Osasuna,8-0,CF,79,8-0,Left-footed shot,Cesc Fabregas,0,H,Ampliar,79,2nd,Q3 2nd,12
402,CR7,11/12,LaLiga,6,24-09-2011,H,Real Madrid,Rayo Vallecano,6-2,LW,84,6-2,Penalty,,0,H,Ampliar,84,2nd,Q3 2nd,12
403,CR7,11/12,LaLiga,6,24-09-2011,H,Real Madrid,Rayo Vallecano,6-2,LW,51,3-1,Penalty,,0,H,Ampliar,51,2nd,Q1 2nd,12
404,CR7,11/12,LaLiga,6,24-09-2011,H,Real Madrid,Rayo Vallecano,6-2,LW,39,1-1,Left-footed shot,Kaka,0,H,Empatar,39,1st,Q3 1st,12
405,Messi,11/12,LaLiga,6,24-09-2011,H,FC Barcelona,Atletico de Madrid,5-0,CF,90+1,5-0,Left-footed shot,David Villa,0,H,Ampliar,90,2nd,Q3 2nd,12
406,Messi,11/12,LaLiga,6,24-09-2011,H,FC Barcelona,Atletico de Madrid,5-0,CF,78,4-0,Left-footed shot,Dani Alves,0,H,Ampliar,78,2nd,Q3 2nd,12
407,Messi,11/12,LaLiga,6,24-09-2011,H,FC Barcelona,Atletico de Madrid,5-0,CF,26,3-0,Left-footed shot,Pedro,0,H,Ampliar,26,1st,Q2 1st,12
408,CR7,11/12,UEFA Champions League,Group Stage,27-09-2011,H,Real Madrid,Ajax Amsterdam,3-0,LW,25,1-0,Right-footed shot,Karim Benzema,0,H,Adelantar,25,1st,Q2 1st,12
409,Messi,11/12,UEFA Champions League,Group Stage,28-09-2011,A,FC Barcelona,BATE Borisov,0-5,CF,56,0-4,Left-footed shot,Dani Alves,0,A,Ampliar,56,2nd,Q1 2nd,12
410,Messi,11/12,UEFA Champions League,Group Stage,28-09-2011,A,FC Barcelona,BATE Borisov,0-5,CF,38,0-3,Header,,0,A,Ampliar,38,1st,Q3 1st,12
411,Messi,11/12,LaLiga,8,15-10-2011,H,FC Barcelona,Racing Santander,3-0,CF,69,3-0,Right-footed shot,,0,H,Ampliar,69,2nd,Q2 2nd,12
412,Messi,11/12,LaLiga,8,15-10-2011,H,FC Barcelona,Racing Santander,3-0,CF,11,1-0,Right-footed shot,Andres Iniesta,0,H,Adelantar,11,1st,Q1 1st,12
413,CR7,11/12,LaLiga,9,22-10-2011,A,Real Madrid,Malaga CF,0-4,LW,38,0-4,Right-footed shot,Sergio Ramos,0,A,Ampliar,38,1st,Q3 1st,12
414,CR7,11/12,LaLiga,9,22-10-2011,A,Real Madrid,Malaga CF,0-4,LW,24,0-2,Left-footed shot,Angel Di Maria,0,A,Ampliar,24,1st,Q2 1st,12
415,CR7,11/12,LaLiga,9,22-10-2011,A,Real Madrid,Malaga CF,0-4,LW,28,0-3,Right-footed shot,Xabi Alonso,0,A,Ampliar,28,1st,Q2 1st,12
416,Messi,11/12,LaLiga,11,29-10-2011,H,FC Barcelona,RCD Mallorca,5-0,CF,21,2-0,Right-footed shot,Adriano,0,H,Ampliar,21,1st,Q2 1st,12
417,Messi,11/12,LaLiga,11,29-10-2011,H,FC Barcelona,RCD Mallorca,5-0,CF,13,1-0,Penalty,,0,H,Adelantar,13,1st,Q1 1st,12
418,Messi,11/12,LaLiga,11,29-10-2011,H,FC Barcelona,RCD Mallorca,5-0,CF,30,3-0,Left-footed shot,Dani Alves,0,H,Ampliar,30,1st,Q2 1st,12
419,Messi,11/12,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,0-4,CF,90+2,0-4,Left-footed shot,Gerard Pique,0,A,Ampliar,90,2nd,Q3 2nd,12
420,Messi,11/12,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,0-4,CF,45+2,0-2,Left-footed shot,Adriano,0,A,Ampliar,45,1st,Q3 1st,12
421,Messi,11/12,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,0-4,CF,24,0-1,Penalty,,0,A,Adelantar,24,1st,Q2 1st,12
422,CR7,11/12,UEFA Champions League,Group Stage,02-11-2011,A,Real Madrid,Olympique Lyon,0-2,LW,69,0-2,Penalty,,0,A,Ampliar,69,2nd,Q2 2nd,12
423,CR7,11/12,UEFA Champions League,Group Stage,02-11-2011,A,Real Madrid,Olympique Lyon,0-2,LW,25,0-1,Direct free kick,,0,A,Adelantar,25,1st,Q2 1st,12
424,CR7,11/12,LaLiga,12,06-11-2011,H,Real Madrid,CA Osasuna,7-1,LW,23,1-0,Header,Angel Di Maria,0,H,Adelantar,23,1st,Q2 1st,12
425,CR7,11/12,LaLiga,12,06-11-2011,H,Real Madrid,CA Osasuna,7-1,LW,58,5-1,Header,alvaro Arbeloa,0,H,Ampliar,58,2nd,Q1 2nd,12
426,CR7,11/12,LaLiga,12,06-11-2011,H,Real Madrid,CA Osasuna,7-1,LW,55,4-1,Penalty,,0,H,Ampliar,55,2nd,Q1 2nd,12
427,Messi,11/12,LaLiga,12,06-11-2011,A,FC Barcelona,Athletic Bilbao,2-2,CF,90,2-2,Left-footed shot,,0,D,Empatar,90,2nd,Q3 2nd,12
428,Messi,11/12,LaLiga,13,19-11-2011,H,FC Barcelona,Real Zaragoza,4-0,CF,43,2-0,Right-footed shot,Cesc Fabregas,0,H,Ampliar,43,1st,Q3 1st,12
429,CR7,11/12,LaLiga,13,19-11-2011,A,Real Madrid,Valencia CF,2-3,LW,79,1-3,Right-footed shot,Pepe,0,A,Ampliar,79,2nd,Q3 2nd,12
430,Messi,11/12,UEFA Champions League,Group Stage,23-11-2011,A,FC Barcelona,AC Milan,2-3,SS,31,1-2,Penalty,,0,A,Adelantar,31,1st,Q3 1st,12
431,CR7,11/12,LaLiga,14,26-11-2011,H,Real Madrid,Atletico de Madrid,4-1,LW,82,4-1,Penalty,,0,H,Ampliar,82,2nd,Q3 2nd,12
432,CR7,11/12,LaLiga,14,26-11-2011,H,Real Madrid,Atletico de Madrid,4-1,LW,24,1-1,Penalty,,0,H,Empatar,24,1st,Q2 1st,12
433,Messi,11/12,LaLiga,17,29-11-2011,H,FC Barcelona,Rayo Vallecano,4-0,CF,49,4-0,Left-footed shot,Dani Alves,0,H,Ampliar,49,2nd,Q1 2nd,12
434,Messi,11/12,LaLiga,15,03-12-2011,H,FC Barcelona,Levante UD,5-0,CF,55,4-0,Left-footed shot,Dani Alves,0,H,Ampliar,55,2nd,Q1 2nd,12
435,CR7,11/12,LaLiga,15,03-12-2011,A,Real Madrid,Sporting GijÃ³n,0-3,LW,65,0-2,Right-footed shot,Angel Di Maria,0,A,Ampliar,65,2nd,Q2 2nd,12
436,CR7,11/12,Copa del Rey,Fourth Round,13-12-2011,A,Real Madrid,SD Ponferradina,0-2,LW,74,0-2,Left-footed shot,Gonzalo Higuain,0,A,Ampliar,74,2nd,Q2 2nd,12
437,CR7,11/12,LaLiga,17,17-12-2011,A,Real Madrid,Sevilla FC,2-6,LW,86,1-5,Penalty,,0,A,Ampliar,86,2nd,Q3 2nd,12
438,CR7,11/12,LaLiga,17,17-12-2011,A,Real Madrid,Sevilla FC,2-6,LW,41,0-3,Right-footed shot,Karim Benzema,0,A,Ampliar,41,1st,Q3 1st,12
439,CR7,11/12,LaLiga,17,17-12-2011,A,Real Madrid,Sevilla FC,2-6,LW,10,0-1,Right-footed shot,Angel Di Maria,0,A,Adelantar,10,1st,Q1 1st,12
440,Messi,11/12,FIFA Club World Cup,Final,18-12-2011,A,FC Barcelona,Santos FC,0-4,RW,17,0-1,Left-footed shot,Xavi,0,A,Adelantar,17,1st,Q2 1st,12
441,Messi,11/12,FIFA Club World Cup,Final,18-12-2011,A,FC Barcelona,Santos FC,0-4,RW,82,0-4,Left-footed shot,Dani Alves,0,A,Ampliar,82,2nd,Q3 2nd,12
442,Messi,11/12,Copa del Rey,Round of 16,04-01-2012,H,FC Barcelona,CA Osasuna,4-0,CF,90,4-0,Left-footed shot,Xavi,0,H,Ampliar,90,2nd,Q3 2nd,12
443,Messi,11/12,Copa del Rey,Round of 16,04-01-2012,H,FC Barcelona,CA Osasuna,4-0,CF,71,3-0,Header,Cesc Fabregas,0,H,Ampliar,71,2nd,Q2 2nd,12
444,CR7,11/12,LaLiga,18,07-01-2012,H,Real Madrid,Granada CF,5-1,LW,89,5-1,Right-footed shot,,0,H,Ampliar,89,2nd,Q3 2nd,12
445,Messi,11/12,LaLiga,19,15-01-2012,H,FC Barcelona,Real Betis Balompie,4-2,CF,12,2-0,Right-footed shot,Alexis Sanchez,0,H,Ampliar,12,1st,Q1 1st,12
446,Messi,11/12,LaLiga,19,15-01-2012,H,FC Barcelona,Real Betis Balompie,4-2,CF,86,4-2,Penalty,,0,H,Ampliar,86,2nd,Q3 2nd,12
447,CR7,11/12,Copa del Rey,Quarter-Finals,18-01-2012,H,Real Madrid,FC Barcelona,1-2,LW,11,1-0,Left-footed shot,Karim Benzema,0,A,Adelantar,11,1st,Q1 1st,12
448,Messi,11/12,LaLiga,1,22-01-2012,A,FC Barcelona,Malaga CF,1-4,CF,51,0-3,Left-footed shot,Thiago,0,A,Ampliar,51,2nd,Q1 2nd,12
449,Messi,11/12,LaLiga,1,22-01-2012,A,FC Barcelona,Malaga CF,1-4,CF,32,0-1,Header,Adriano,0,A,Adelantar,32,1st,Q3 1st,12
450,CR7,11/12,LaLiga,1,22-01-2012,H,Real Madrid,Athletic Bilbao,4-1,LW,67,3-1,Penalty,,0,H,Ampliar,67,2nd,Q2 2nd,12
451,CR7,11/12,LaLiga,1,22-01-2012,H,Real Madrid,Athletic Bilbao,4-1,LW,46,2-1,Penalty,,0,H,Adelantar,46,2nd,Q1 2nd,12
452,Messi,11/12,LaLiga,1,22-01-2012,A,FC Barcelona,Malaga CF,1-4,CF,77,0-4,Left-footed shot,Pedro,0,A,Ampliar,77,2nd,Q3 2nd,12
453,CR7,11/12,Copa del Rey,Quarter-Finals,25-01-2012,A,Real Madrid,FC Barcelona,2-2,LW,68,2-1,Right-footed shot,Mesut Ozil,0,D,Recortar,68,2nd,Q2 2nd,12
454,CR7,11/12,LaLiga,21,28-01-2012,H,Real Madrid,Real Zaragoza,3-1,LW,48,2-1,Right-footed shot,Mesut Ozil,0,H,Adelantar,48,2nd,Q1 2nd,12
455,Messi,11/12,LaLiga,22,04-02-2012,H,FC Barcelona,Real Sociedad,2-1,CF,72,2-0,Left-footed shot,Dani Alves,0,H,Ampliar,72,2nd,Q2 2nd,12
456,CR7,11/12,LaLiga,23,12-02-2012,H,Real Madrid,Levante UD,4-2,LW,50,2-1,Header,Gonzalo Higuain,0,H,Adelantar,50,2nd,Q1 2nd,12
457,CR7,11/12,LaLiga,23,12-02-2012,H,Real Madrid,Levante UD,4-2,LW,57,3-1,Right-footed shot,Fabio CoentrÃ£o,0,H,Ampliar,57,2nd,Q1 2nd,12
458,CR7,11/12,LaLiga,23,12-02-2012,H,Real Madrid,Levante UD,4-2,LW,45,1-1,Penalty,,0,H,Empatar,45,1st,Q3 1st,12
459,Messi,11/12,UEFA Champions League,Round of 16,14-02-2012,A,FC Barcelona,Bayer 04 Leverkusen,1-3,CF,88,1-3,Left-footed shot,Dani Alves,0,A,Ampliar,88,2nd,Q3 2nd,12
460,CR7,11/12,LaLiga,24,18-02-2012,H,Real Madrid,Racing Santander,4-0,LW,6,1-0,Header,Kaka,0,H,Adelantar,6,1st,Q1 1st,12
461,Messi,11/12,LaLiga,24,19-02-2012,H,FC Barcelona,Valencia CF,5-1,CF,84,4-1,Left-footed shot,Sergio Busquets,0,H,Ampliar,84,2nd,Q3 2nd,12
462,Messi,11/12,LaLiga,24,19-02-2012,H,FC Barcelona,Valencia CF,5-1,CF,75,3-1,Left-footed shot,Cristian Tello,0,H,Ampliar,75,2nd,Q2 2nd,12
463,Messi,11/12,LaLiga,24,19-02-2012,H,FC Barcelona,Valencia CF,5-1,CF,21,1-1,Left-footed shot,,0,H,Empatar,21,1st,Q2 1st,12
464,Messi,11/12,LaLiga,24,19-02-2012,H,FC Barcelona,Valencia CF,5-1,CF,27,2-1,Tap-in,,0,H,Adelantar,27,1st,Q2 1st,12
465,CR7,11/12,UEFA Champions League,Round of 16,21-02-2012,A,Real Madrid,CSKA Moscow,1-1,LW,28,0-1,Left-footed shot,Fabio CoentrÃ£o,0,D,Adelantar,28,1st,Q2 1st,12
466,Messi,11/12,LaLiga,25,26-02-2012,A,FC Barcelona,Atletico de Madrid,1-2,CF,79,1-2,Direct free kick,,0,A,Adelantar,79,2nd,Q3 2nd,12
467,CR7,11/12,LaLiga,25,26-02-2012,A,Real Madrid,Rayo Vallecano,0-1,LW,53,0-1,Right-footed shot,,0,A,Adelantar,53,2nd,Q1 2nd,12
468,CR7,11/12,LaLiga,26,04-03-2012,H,Real Madrid,RCD Espanyol Barcelona,5-0,LW,23,1-0,Left-footed shot,Gonzalo Higuain,0,H,Adelantar,23,1st,Q2 1st,12
469,Messi,11/12,UEFA Champions League,Round of 16,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,7-1,CF,85,7-0,Left-footed shot,Seydou Keita,0,H,Ampliar,85,2nd,Q3 2nd,12
470,Messi,11/12,UEFA Champions League,Round of 16,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,7-1,CF,58,5-0,Left-footed shot,,0,H,Ampliar,58,2nd,Q1 2nd,12
471,Messi,11/12,UEFA Champions League,Round of 16,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,7-1,CF,50,3-0,Right-footed shot,Cesc Fabregas,0,H,Ampliar,50,2nd,Q1 2nd,12
472,Messi,11/12,UEFA Champions League,Round of 16,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,7-1,CF,42,2-0,Left-footed shot,Andres Iniesta,0,H,Ampliar,42,1st,Q3 1st,12
473,Messi,11/12,UEFA Champions League,Round of 16,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,7-1,CF,25,1-0,Left-footed shot,Xavi,0,H,Adelantar,25,1st,Q2 1st,12
474,CR7,11/12,LaLiga,27,10-03-2012,A,Real Madrid,Real Betis Balompie,2-3,LW,52,1-2,Left-footed shot,Marcelo,0,A,Adelantar,52,2nd,Q1 2nd,12
475,CR7,11/12,LaLiga,27,10-03-2012,A,Real Madrid,Real Betis Balompie,2-3,LW,73,2-3,Left-footed shot,,0,A,Adelantar,73,2nd,Q2 2nd,12
476,Messi,11/12,LaLiga,27,11-03-2012,A,FC Barcelona,Racing Santander,0-2,CF,28,0-1,Left-footed shot,Cesc Fabregas,0,A,Adelantar,28,1st,Q2 1st,12
477,Messi,11/12,LaLiga,27,11-03-2012,A,FC Barcelona,Racing Santander,0-2,CF,55,0-2,Penalty,,0,A,Ampliar,55,2nd,Q1 2nd,12
478,CR7,11/12,UEFA Champions League,Round of 16,14-03-2012,H,Real Madrid,CSKA Moscow,4-1,LW,55,2-0,Right-footed shot,Sergio Ramos,0,H,Ampliar,55,2nd,Q1 2nd,12
479,CR7,11/12,UEFA Champions League,Round of 16,14-03-2012,H,Real Madrid,CSKA Moscow,4-1,LW,90+4,4-1,Right-footed shot,Karim Benzema,0,H,Ampliar,90,2nd,Q3 2nd,12
480,Messi,11/12,LaLiga,28,17-03-2012,A,FC Barcelona,Sevilla FC,0-2,CF,25,0-2,Left-footed shot,Andres Iniesta,0,A,Ampliar,25,1st,Q2 1st,12
481,Messi,11/12,LaLiga,29,20-03-2012,H,FC Barcelona,Granada CF,5-3,CF,85,5-2,Left-footed shot,Dani Alves,0,H,Ampliar,85,2nd,Q3 2nd,12
482,Messi,11/12,LaLiga,29,20-03-2012,H,FC Barcelona,Granada CF,5-3,CF,16,2-0,Left-footed shot,Isaac Cuenca,0,H,Ampliar,16,1st,Q2 1st,12
483,Messi,11/12,LaLiga,29,20-03-2012,H,FC Barcelona,Granada CF,5-3,CF,66,3-2,Left-footed shot,Dani Alves,0,H,Adelantar,66,2nd,Q2 2nd,12
484,CR7,11/12,LaLiga,29,21-03-2012,A,Real Madrid,Villarreal CF,1-1,LW,61,0-1,Right-footed shot,Mesut Ozil,0,D,Adelantar,61,2nd,Q2 2nd,12
485,CR7,11/12,LaLiga,30,24-03-2012,H,Real Madrid,Real Sociedad,5-1,LW,55,5-1,Right-footed shot,Gonzalo Higuain,0,H,Ampliar,55,2nd,Q1 2nd,12
486,CR7,11/12,LaLiga,30,24-03-2012,H,Real Madrid,Real Sociedad,5-1,LW,32,2-0,Right-footed shot,Kaka,0,H,Ampliar,32,1st,Q3 1st,12
487,Messi,11/12,LaLiga,30,24-03-2012,A,FC Barcelona,RCD Mallorca,0-2,CF,25,0-1,Direct free kick,,0,A,Adelantar,25,1st,Q2 1st,12
488,CR7,11/12,LaLiga,31,31-03-2012,A,Real Madrid,CA Osasuna,1-5,LW,70,1-4,Direct free kick,,0,A,Ampliar,70,2nd,Q2 2nd,12
489,CR7,11/12,LaLiga,31,31-03-2012,A,Real Madrid,CA Osasuna,1-5,LW,37,0-2,Long distance kick,Xabi Alonso,0,A,Ampliar,37,1st,Q3 1st,12
490,Messi,11/12,LaLiga,31,31-03-2012,H,FC Barcelona,Athletic Bilbao,2-0,CF,57,2-0,Penalty,,0,H,Ampliar,57,2nd,Q1 2nd,12
491,Messi,11/12,UEFA Champions League,Quarter-Finals,03-04-2012,H,FC Barcelona,AC Milan,3-1,RW,11,1-0,Penalty,,0,H,Adelantar,11,1st,Q1 1st,12
492,Messi,11/12,UEFA Champions League,Quarter-Finals,03-04-2012,H,FC Barcelona,AC Milan,3-1,RW,42,2-1,Penalty,,0,H,Adelantar,42,1st,Q3 1st,12
493,CR7,11/12,UEFA Champions League,Quarter-Finals,04-04-2012,H,Real Madrid,APOEL Nicosia,5-2,LW,26,1-0,Right-footed shot,Marcelo,0,H,Adelantar,26,1st,Q2 1st,12
494,CR7,11/12,UEFA Champions League,Quarter-Finals,04-04-2012,H,Real Madrid,APOEL Nicosia,5-2,LW,75,3-1,Direct free kick,,0,H,Ampliar,75,2nd,Q2 2nd,12
495,Messi,11/12,LaLiga,32,07-04-2012,A,FC Barcelona,Real Zaragoza,1-4,CF,86,1-3,Penalty,,0,A,Ampliar,86,2nd,Q3 2nd,12
