,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
812,CR7,14/15,LaLiga,28,22-03-2015,A,Real Madrid,FC Barcelona,2-1,LW,31,1-1,Right-footed shot,Karim Benzema,0,H,Empatar,31,1st,Q3 1st,15
813,CR7,14/15,LaLiga,29,05-04-2015,H,Real Madrid,Granada CF,9-1,CF,54,6-0,Header,Gareth Bale,0,H,Ampliar,54,2nd,Q1 2nd,15
814,CR7,14/15,LaLiga,29,05-04-2015,H,Real Madrid,Granada CF,9-1,CF,38,4-0,Long distance kick,Gareth Bale,0,H,Ampliar,38,1st,Q3 1st,15
815,CR7,14/15,LaLiga,29,05-04-2015,H,Real Madrid,Granada CF,9-1,CF,36,3-0,Right-footed shot,,0,H,Ampliar,36,1st,Q3 1st,15
816,CR7,14/15,LaLiga,29,05-04-2015,H,Real Madrid,Granada CF,9-1,CF,30,2-0,Right-footed shot,James Rodriguez,0,H,Ampliar,30,1st,Q2 1st,15
817,CR7,14/15,LaLiga,29,05-04-2015,H,Real Madrid,Granada CF,9-1,CF,90,9-1,Header,Luka Modric,0,H,Ampliar,90,2nd,Q3 2nd,15
818,CR7,14/15,LaLiga,30,08-04-2015,A,Real Madrid,Rayo Vallecano,0-2,LW,68,0-1,Header,Daniel Carvajal,0,A,Adelantar,68,2nd,Q2 2nd,15
819,Messi,14/15,LaLiga,30,08-04-2015,H,FC Barcelona,UD Almera,4-0,RW,33,1-0,Left-footed shot,Marc Bartra,0,H,Adelantar,33,1st,Q3 1st,15
820,CR7,14/15,LaLiga,31,11-04-2015,H,Real Madrid,SD Eibar,3-0,LW,21,1-0,Direct free kick,,0,H,Adelantar,21,1st,Q2 1st,15
821,Messi,14/15,LaLiga,31,11-04-2015,A,FC Barcelona,Sevilla FC,2-2,RW,15,0-1,Left-footed shot,Neymar,0,D,Adelantar,15,1st,Q1 1st,15
822,Messi,14/15,LaLiga,32,18-04-2015,H,FC Barcelona,Valencia CF,2-0,RW,90+4,2-0,Left-footed shot,,0,H,Ampliar,90,2nd,Q3 2nd,15
